network_code,network_name
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
701,1
703,0
705,2
706,0
707,4
708,1
802,1
803,0
805,2
806,0
807,2
808,1
809,3
810,0
811,2
812,1
813,0
814,0
815,2
816,0
817,3
818,3
909,3
908,3
902,1
903,0
905,2
906,0
907,1
